numero,tema,pregunta,respuestas,respuestas_correctas
15,Tema 8,"1. ¿Qué regla general se aplica para transformar entidades en un modelo relacional?","a) Cada entidad se transforma en una relación;b) Cada atributo se convierte en una clave ajena;c) Añadir un sufijo Id como clave primaria;d) Eliminar relaciones redundantes;e) Combinar entidades relacionadas,a;c
16,Tema 8,3.  ¿Qué estrategia se usa para una asociación 1:N?,a) Crear relaciones auxiliares;b) Combinar las dos entidades en una tabla;c) Colocar una clave ajena en la entidad del rol N;d) Usar discriminantes para identificar claves;e) Asociar todas las claves en una única tabla,c
17,Tema 8,4.  ¿Cómo se representan las asociaciones M:N?,a) Combinar las entidades en una relación;b) Usar claves primarias compartidas;c) Crear una relación auxiliar con claves ajenas;d) Incluir identificadores únicos en cada entidad;e) Ignorar asociaciones sin claves primarias,c
18,Tema 8,6.  ¿Qué define la transformación de jerarquías de clasificación?,a) Usar claves externas;b) Crear una relación para cada clase;c) Eliminar dependencias transitivas;d) Mantener la clave primaria compartida;e) Usar identificadores booleanos,b
19,Tema 8,7.  ¿Qué regla aplica a asociaciones 1:1 opcionales?,a) Incluir una clave ajena en ambas entidades;b) Ignorar los roles opcionales;c) Colocar la clave ajena en la relación del rol opcional;d) Crear una tabla auxiliar;e) Añadir un discriminante,c
20,Tema 8,8.  ¿Cómo se manejan asociaciones con orden en el modelo relacional?,a) Se elimina la necesidad de claves primarias;b) Se añade un atributo que especifique el orden;c) Se crean relaciones separadas para cada orden;d) Se agrupan las tuplas por valores repetidos;e) Se usan índices para definir la jerarquía,b
22,Tema 8,10. ¿Qué característica define una clave alternativa?,a) Claves secundarias no únicas;b) Claves candidatas no seleccionadas como primarias;c) Claves compuestas que determinan una relación;d) Claves externas utilizadas en tablas auxiliares;e) Claves basadas en atributos artificiales,b
23,Tema 8,11. ¿Qué es un discriminante en jerarquías?,a) Un índice para relaciones externas;b) Una clave secundaria derivada;c) Un atributo que identifica la subclase de una tupla;d) Una clave compuesta utilizada en relaciones auxiliares;e) Un identificador de dominio compartido,c
24,Tema 8,12. ¿Qué ventaja tiene usar una relación por subclase concreta?,a) Mayor claridad en las consultas de atributos;b) Reducción de valores repetidos;c) Facilidad para añadir dependencias transitivas;d) Mayor rendimiento en índices complejos;e) Reducción de claves candidatas,a
25,Tema 8,13. ¿Qué elemento permite evitar valores nulos en una tabla jerárquica?,a) Combinar todas las claves en una relación;b) Crear una tabla auxiliar para las dependencias;c) Usar una relación por cada subclase concreta;d) Añadir discriminantes a cada atributo;e) Redefinir los identificadores semánticos,c
26,Tema 8,14. ¿Qué estrategia es adecuada para jerarquías disjuntas completas?,a) Una tabla por subclase concreta;b) Una única tabla para toda la jerarquía;c) Relaciones auxiliares compartidas;d) Claves compuestas por cada relación;e) Identificadores externos,a
27,Tema 8,15. ¿Cómo se garantiza la integridad en asociaciones M:N?,a) Mediante la eliminación de redundancias;b) Usando claves ajenas en la tabla intermedia;c) Por la consolidación de dependencias transitivas;d) Incluyendo atributos únicos en cada subclase;e) Añadiendo valores nulos permitidos,b
28,Tema 9,1.  ¿Qué objetivo tiene la normalización?,"a) Reducir el tamaño de las tablas;b) Eliminar anomalías de manipulación;c) Crear dependencias funcionales;d) Garantizar la calidad de los datos;e) Evitar redundancias,b;d
29,Tema 9,3.  ¿Qué problema ocurre con datos redundantes?,a) Incrementan el riesgo de incoherencia;b) Generan errores de integridad referencial;c) Eliminan claves candidatas;d) Facilitan el acceso a los datos;e) Crean relaciones transitivas,a
30,Tema 9,4.  ¿Qué relación NO está en 1FN?,a) Una que contiene atributos únicos;b) Una que incluye dependencias transitivas;c) Una con grupos repetidos en sus atributos;d) Una con claves candidatas múltiples;e) Una con claves alternativas,c
31,Tema 9,5.  ¿Qué problemas resuelve la tercera forma normal (3FN)?,a) Dependencias transitivas;b) Relaciones M:N;c) Claves externas repetidas;d) Atributos no primos dependientes transitivamente;e) Relaciones opcionales,d
32,Tema 9,6.  ¿Qué define una dependencia funcional?,a) Que un atributo determina otro atributo;b) Que dos tuplas con los mismos valores en X tengan el mismo Y;c) Que las claves externas estén completas;d) Que no haya valores nulos;e) Que las relaciones sean únicas,b
33,Tema 9,7.  ¿Qué regla define la primera forma normal (1FN)?,a) Evitar dependencias transitivas;b) Usar claves compuestas;c) Que cada atributo tenga un solo valor;d) Consolidar los valores repetidos;e) Crear dependencias funcionales,c
34,Tema 9,8.  ¿Qué define la forma normal de Boyce-Codd (BCNF)?,a) Eliminar valores redundantes;b) Garantizar dependencias funcionales completas;c) Evitar grupos repetidos;d) Crear claves compuestas únicas;e) Usar relaciones auxiliares,b
35,Tema 9,9.  ¿Qué sucede si una relación no está en 2FN?,a) Tiene dependencias transitivas;b) Los atributos no primos no dependen completamente de la clave;c) No cumple la regla de unicidad;d) Tiene valores nulos en claves ajenas;e) Carece de identificadores únicos,b
36,Tema 9,11. ¿Cómo se evita una anomalía de eliminación?,a) Separando las entidades relacionadas en tablas;b) Consolidando dependencias funcionales;c) Eliminando atributos redundantes;d) Creando claves alternativas;e) Usando relaciones transitivas,a
37,Tema 9,12. ¿Qué ventaja tiene la normalización en 3FN?,a) Eliminar todos los valores nulos;b) Simplificar la representación de entidades;c) Consolidar relaciones externas;d) Usar discriminantes para atributos secundarios;e) Reducir el tamaño de las tablas,b
38,Tema 9,13. ¿Qué problema puede ocurrir con anomalías de actualización?,a) Requiere múltiples modificaciones de datos repetidos;b) Elimina dependencias transitivas;c) Genera valores nulos;d) Impide la creación de relaciones auxiliares;e) Dificulta las consultas,a
39,Tema 9,14. ¿Qué indica el grafo de dependencias funcionales?,a) Relaciones entre atributos y claves;b) Claves externas únicas;c) Atributos redundantes;d) Dependencias transitivas permitidas;e) Valores repetidos en relaciones,a
40,Tema 9,15. ¿Qué define una relación en 5FN?,a) No tiene dependencias transitivas;b) Elimina anomalías de ensamblado;c) Tiene claves únicas y externas;d) Cumple todas las reglas de la BCNF;e) Carece de atributos derivados,b
41,Tema 10,1.  ¿Qué es el álgebra relacional?,a) Un conjunto de funciones matemáticas;b) Un conjunto de operadores para trabajar con relaciones;c) Un lenguaje de programación para bases de datos;d) Un modelo conceptual para el diseño de sistemas;e) Una técnica de optimización para consultas,b
42,Tema 10,2.  ¿Qué operadores pertenecen al álgebra relacional conjuntista?,"a) Selección y proyección;b) Unión e intersección;c) Producto cartesiano y combinación natural;d) Diferencia;e) Agregación,b;d
43,Tema 10,4.  ¿Qué devuelve un operador del álgebra relacional?,a) Una tabla en formato CSV;b) Un diagrama entidad-relación;c) Una relación derivada;d) Un modelo conceptual;e) Un conjunto de dependencias funcionales,c
45,Tema 10,7.  ¿Qué operador sirve para unir datos de relaciones enlazadas?,a) División;b) Combinación natural;c) Proyección;d) Diferencia;e) Agregación,b
50,Tema 10,"12. ¿Qué operación combina proyección, selección y producto cartesiano?",a) División;b) Combinación natural;c) Unión;d) Intersección;e) Diferencia,b
51,Tema 10,13. ¿Qué representa un atributo en el álgebra relacional?,a) Una clave primaria derivada;b) Una columna de una relación;c) Una relación externa;d) Una dependencia funcional;e) Una tupla completa,b
52,Tema 10,14. ¿Qué función tienen los discriminantes en combinaciones naturales?,a) Eliminar duplicados;b) Seleccionar tuplas con valores iguales en los atributos comunes;c) Generar todas las combinaciones posibles;d) Definir nuevas claves primarias;e) Filtrar los resultados por atributos secundarios,b
54,Tema 11,1.  ¿Qué significa SQL?,a) Structured Query Language;b) System Query Language;c) Syntax Query Language;d) Server Query Language;e) Structured Quality Language,a
55,Tema 11,2.  ¿Qué categorías de comandos existen en SQL?,"a) DDL, DML, DQL, DCL, TCL;b) ALU, MLU, SQL, HTML;c) SELECT, UPDATE, DELETE;d) CRE, DEL, MOD, QRY;e) CREATE, DROP, SELECT",a
56,Tema 11,3.  ¿Cuál es una función principal de DDL?,a) Consultar datos en la base de datos;b) Definir y modificar el esquema de la base de datos;c) Actualizar datos en la tabla;d) Establecer restricciones en las consultas;e) Manejar transacciones de usuario,b
57,Tema 11,4.  ¿Qué comando permite insertar datos en una tabla?,a) UPDATE;b) DELETE;c) SELECT;d) INSERT INTO;e) CREATE,d
58,Tema 11,5.  ¿Qué tipo de dato sería más adecuado para almacenar texto largo?,a) VARCHAR;b) TEXT;c) BOOLEAN;d) INT;e) CHAR,b
59,Tema 11,6.  ¿Qué comando permite eliminar una fila específica de una tabla?,a) UPDATE;b) DELETE;c) DROP;d) REMOVE;e) TRUNCATE,b
60,Tema 11,7.  ¿Cuál de las siguientes opciones es un comando TCL?,a) GRANT;b) COMMIT;c) SELECT;d) DROP;e) CHECK,b
61,Tema 11,8.  ¿Qué operador DQL se utiliza para evitar duplicados en los resultados?,a) UNIQUE;b) GROUP BY;c) DISTINCT;d) ORDER BY;e) SELECT,c
62,Tema 11,9.  ¿Qué cláusula permite filtrar resultados según una condición?,a) GROUP BY;b) WHERE;c) HAVING;d) ORDER BY;e) LIMIT,b
63,Tema 11,10. ¿Qué significa el operador LIKE en SQL?,a) Buscar patrones en cadenas de texto;b) Ordenar resultados alfabéticamente;c) Eliminar tuplas duplicadas;d) Aplicar filtros numéricos;e) Comparar claves externas,a
64,Tema 11,11. ¿Qué comando permite combinar dos tablas con atributos comunes?,a) JOIN;b) MERGE;c) UNION;d) INTERSECT;e) CROSS,a
65,Tema 11,12. ¿Cuál es el propósito de la cláusula GROUP BY?,a) Combinar resultados en una única tabla;b) Agrupar tuplas por valores comunes;c) Filtrar resultados por condiciones;d) Crear restricciones en los valores de una columna;e) Cambiar nombres de atributos,b
66,Tema 11,13. ¿Qué función agregada calcula el promedio de una columna numérica?,a) COUNT;b) SUM;c) AVG;d) MAX;e) MIN,c
67,Tema 11,15. ¿Qué comando se utiliza para crear una tabla en SQL?,a) CREATE TABLE;b) CREATE DATABASE;c) INSERT INTO;d) MAKE TABLE;e) BUILD TABLE,a
68,Tema 12,1.  ¿Qué es un procedimiento almacenado en SQL?,a) Un bloque de código ejecutado en el cliente;b) Un programa almacenado en el motor de la base de datos;c) Una consulta anidada para manejar datos;d) Una función que devuelve múltiples valores;e) Un trigger ejecutado automáticamente,b
69,Tema 12,2.  ¿Qué palabra clave se usa para declarar el inicio de un bloque en SQL?,a) BEGIN-END;b) DELIMITER;c) START-END;d) LOOP-ENDLOOP;e) FUNCTION-END,b
71,Tema 12,5.  ¿Qué tipo de eventos pueden activar un disparador?,"a) SELECT;b) INSERT, UPDATE y DELETE;c) JOIN;d) MERGE;e) CALL",b
72,Tema 12,6.  ¿Cuál es el propósito de los cursores en SQL?,a) Ejecutar disparadores automáticamente;b) Iterar sobre un conjunto de resultados de una consulta;c) Crear funciones almacenadas;d) Filtrar valores de tablas;e) Generar vistas dinámicas,b
73,Tema 12,7.  ¿Qué comando se utiliza para abrir un cursor?,a) START CURSOR;b) OPEN CURSOR;c) INITIATE CURSOR;d) ENABLE CURSOR;e) FETCH CURSOR,b
74,Tema 12,8.  ¿Qué declaración permite capturar excepciones en un bloque SQL?,a) DECLARE ERROR;b) DECLARE HANDLER;c) SIGNAL CONDITION;d) EXCEPTION HANDLER;e) TRY-CATCH,b
75,Tema 12,10. ¿Qué operador se usa para crear una condición en un disparador?;f) IF-THEN-ELSE;g) WHEN-THEN;h) SIGNAL SQLSTATE;i) CASE-ENDCASE;j) LOOP-CONDITION",c
76,Tema 12,11. ¿Qué función tiene la cláusula FOR EACH ROW en un disparador?,a) Ejecutar una vez por tabla;b) Aplicar la lógica del disparador a cada fila afectada;c) Iterar sobre todas las filas de una consulta;d) Filtrar valores específicos de una tabla;e) Crear una vista dinámica,b
77,Tema 12,"12. ¿Qué sucede si una función almacenada no incluye la palabra clave RETURN?",a) Genera un error de compilación;b) No devuelve ningún valor;c) Almacena el resultado en una variable global;d) Solo funciona en procedimientos;e) Devuelve NULL por defecto,b
78,Tema 12,13. ¿Qué operador permite limitar el tamaño de un cambio en un disparador?,a) CASE;b) SET;c) LIMIT;d) SIGNAL;e) GOTO,b
79,Tema 12,14. ¿Qué diferencia tienen los procedimientos respecto a las funciones?,a) No pueden ser llamadas desde SELECT;b) Siempre devuelven un valor único;c) Pueden usarse para consultas anidadas;d) Solo manejan datos numéricos;e) Requieren una vista asociada,a
80,Tema 12,"15. ¿Qué tipo de excepción se utiliza para validar reglas de negocio en disparadores?",a) TRY-CATCH;b) SIGNAL SQLSTATE;c) ERROR HANDLER;d) WHEN-THEN;e) RETURN SIGNAL,b
81,Tema 13,1.  ¿Qué define una transacción en una base de datos?,"a) Un conjunto de operaciones físicas sobre disco;b) Una secuencia de operaciones DML que se comporta como una unidad lógica de trabajo.;c) Un programa almacenado en la base de datos;d) Una consulta que retorna múltiples resultados;e) Un conjunto de operaciones DDL",b
82,Tema 13,2.  ¿Qué operación se utiliza para confirmar los cambios de una transacción?,a) START;b) COMMIT;c) ROLLBACK;d) END;e) SYNC,b
83,Tema 13,"3.  ¿Qué propiedad de las transacciones asegura que los datos no quedan en un estado intermedio?",a) Consistency;b) Atomicity;c) Isolation;d) Durability;e) Synchronization,b
84,Tema 13,"4.  ¿Qué significa la propiedad de ""Isolation"" en las transacciones?",a) Garantizar la persistencia de los datos tras un fallo;b) Asegurar que las transacciones no se afectan entre sí;c) Evitar estados inconsistentes en la base de datos;d) Confirmar automáticamente las transacciones;e) Minimizar las operaciones concurrentes,b
85,Tema 13,"5.  ¿Qué propiedad ACID asegura que los cambios realizados por una transacción confirmada son permanentes?",a) Atomicity;b) Isolation;c) Durability;d) Consistency;e) Synchronization,c
86,Tema 13,"6.  ¿Qué problema ocurre cuando una transacción sobrescribe cambios de otra sin sincronización?",a) Dirty Read;b) Phantom Read;c) Lost Update;d) Non-repeatable Read;e) Concurrency Deadlock,c
87,Tema 7,7.  ¿Qué técnica garantiza la serializabilidad de un plan concurrente?,a) Protocolo de bloqueo en dos fases;b) Incremento de granularidad;c) Creación de múltiples vistas;d) Análisis de dependencias transitivas;e) Asignación dinámica de claves,a
88,Tema 7,"8.  ¿Qué nivel de aislamiento permite leer datos no confirmados de otras transacciones?",a) SERIALIZABLE;b) READ UNCOMMITTED;c) READ COMMITTED;d) REPEATABLE READ;e) NONE,b
89,Tema 7,"9.  ¿Qué problema de concurrencia implica lecturas inconsistentes durante la misma transacción?",a) Lost Update;b) Non-repeatable Read;c) Dirty Read;d) Phantom Read;e) Transitive Dependency,b
90,Tema 7,"10. ¿Qué algoritmo se basa en marcas de tiempo para garantizar la serializabilidad?",a) Protocolo en dos fases;b) Ordenación por Timestamp;c) Escaneo secuencial;d) Algoritmo de recuperación caliente;e) Control de dependencias funcionales,b
91,Tema 7,11. ¿Qué acción realiza un ROLLBACK en una transacción?,a) Deshace todos los cambios realizados;b) Confirma las operaciones pendientes;c) Guarda los datos en una tabla temporal;d) Reduce el nivel de aislamiento;e) Finaliza un disparador automáticamente,a
92,Tema 7,12. ¿Qué ocurre en un Phantom Read?,a) Se obtienen diferentes conjuntos de tuplas durante la misma transacción;b) Se sobrescriben valores confirmados;c) Se leen valores de transacciones no confirmadas;d) Los datos permanecen en estado inconsistente;e) Los valores duplicados son eliminados automáticamente,a
93,Tema 7,13. ¿Qué nivel de aislamiento garantiza la secuenciabilidad completa?,a) READ UNCOMMITTED;b) READ COMMITTED;c) REPEATABLE READ;d) SERIALIZABLE;e) NONE,d
94,Tema 7,14. ¿Qué operación asegura que los datos modificados se guardan en el disco?,a) SYNC;b) CHECKPOINT;c) START;d) SAVEPOINT;e) INSERT,b
95,Tema 7,15. ¿Qué ocurre si se produce un deadlock en una base de datos?,a) Todas las transacciones se reinician automáticamente;b) El sistema aborta alguna transacción involucrada;c) Se activan los disparadores para resolver el problema;d) La base de datos entra en modo seguro;e) Las transacciones continúan sin bloqueo,b
